state,date,state_new_cases_per_100000,state_new_deaths_per_100000
Ohio,2020-09-15,9.157237787740424,0.25416097705946955
Nevada,2020-09-15,9.114511243108998,0.4188648005926723
Rhode Island,2020-09-15,8.89044419118238,0.12200715964494972
Michigan,2020-09-15,8.680646043908936,0.17297065851400295
California,2020-09-15,8.616846885301975,0.2784333359582345
Wyoming,2020-09-15,8.284046200953028,0.0
District of Columbia,2020-09-15,6.609676064658945,0.10107409015524126
Pennsylvania,2020-09-15,6.567783706799218,0.08924764934340902
Puerto Rico,2020-09-15,6.339915490744887,0.3085924210828089
Arizona,2020-09-15,6.302597757892679,0.24499257213755393
Colorado,2020-09-15,6.090002675766614,0.05776425302217656
Washington,2020-09-15,5.535597672432062,0.11757538327119929
New Mexico,2020-09-15,5.058632413044018,0.15700849659353602
Massachusetts,2020-09-15,5.031621310985898,0.17385889525131956
Connecticut,2020-09-15,4.994310969542345,0.04394478631497776
Oregon,2020-09-15,4.451987048504633,0.11239137588281516
New Jersey,2020-09-15,4.38905676812759,0.07532115323308473
New York,2020-09-15,3.7544885534690575,0.016067784353345112
New Hampshire,2020-09-15,2.6959920616782824,0.05234220300223081
Maine,2020-09-15,2.553040785891256,0.032127817908494
Vermont,2020-09-15,1.0953234796798335,0.0
Guam,2020-09-15,,
Northern Mariana Islands,2020-09-15,,
Virgin Islands,2020-09-15,,
American Samoa,2020-09-15,,
North Dakota,2020-09-14,38.154029131259065,0.2631312353879936
South Dakota,2020-09-14,24.305315477168783,0.1779571202684092
Arkansas,2020-09-14,23.226298806334142,0.3981651223942996
Missouri,2020-09-14,23.019685782243947,0.11899219972669337
Oklahoma,2020-09-14,21.74874000749161,0.18843142630416482
Iowa,2020-09-14,20.49050344645129,0.24428535444347454
Wisconsin,2020-09-14,20.140127371005207,0.09581035260961944
South Carolina,2020-09-14,19.874208492431443,0.4777614721268765
Nebraska,2020-09-14,19.748422717839098,0.29389384989540074
Tennessee,2020-09-14,19.339557844079994,0.4810923469832393
Alabama,2020-09-14,18.95651501441016,0.23097990924883247
Kansas,2020-09-14,16.30459795776075,0.28954047899543534
Georgia,2020-09-14,15.658005746484497,0.41960268929770733
Utah,2020-09-14,15.387973509263375,0.05884018404956495
Louisiana,2020-09-14,14.773245710602065,0.4506459043368874
Idaho,2020-09-14,14.6100120396213,0.15220543971980519
Mississippi,2020-09-14,13.814359808875183,0.5789327413419587
Kentucky,2020-09-14,13.485134059111067,0.22066054039005442
Illinois,2020-09-14,13.395332263826928,0.1659200005023122
Texas,2020-09-14,13.292838840151216,0.3752720426160757
Indiana,2020-09-14,13.120382648936516,0.15152697045582722
Rhode Island,2020-09-14,11.984129611326804,0.08133810642996647
North Carolina,2020-09-14,11.961146498042108,0.22429557322012939
Virginia,2020-09-14,11.74027919557955,0.09897055361873561
Florida,2020-09-14,11.711310100202706,0.5171055890268823
Alaska,2020-09-14,10.731749652174148,0.03932533989298083
Montana,2020-09-14,10.637246365215264,0.2692258814558907
Delaware,2020-09-14,10.162628945656973,0.11786953909908382
West Virginia,2020-09-14,9.928387579797013,0.23756362718126606
Hawaii,2020-09-14,9.594569764961552,0.1309406395394269
Minnesota,2020-09-14,9.481073407210856,0.1578990796764815
Wyoming,2020-09-14,8.950439386779799,0.0
Maryland,2020-09-14,8.896162289883462,0.08274422205371822
Ohio,2020-09-14,8.73557523105038,0.1747730986645898
California,2020-09-14,8.72843257123984,0.24594860409820807
Nevada,2020-09-14,8.695646442516328,0.2965997801206963
Michigan,2020-09-14,8.4091351317013,0.1586648145767546
District of Columbia,2020-09-14,6.243816329871665,0.10107409015524126
Connecticut,2020-09-14,6.117842003098527,0.06801645270407385
Pennsylvania,2020-09-14,6.090390768841561,0.0936983195206394
Puerto Rico,2020-09-14,5.745264780747589,0.2907528997828899
Colorado,2020-09-14,5.525528288331059,0.042664782627321894
Arizona,2020-09-14,5.499853171782322,0.2051133031384985
Washington,2020-09-14,4.915739190197557,0.10045661979266125
New Mexico,2020-09-14,4.758455074571877,0.10928554930066793
Massachusetts,2020-09-14,4.737654895598458,0.1780604852198931
New Jersey,2020-09-14,4.134132268884169,0.0689227840314665
Oregon,2020-09-14,3.910074490904054,0.09210843119058738
New York,2020-09-14,3.6017422595367803,0.02046851509980269
Maine,2020-09-14,2.5403390904390606,0.021667598124333158
New Hampshire,2020-09-14,2.506528031092743,0.031700207452055276
Vermont,2020-09-14,1.0266661770176864,0.0
Guam,2020-09-14,,
Virgin Islands,2020-09-14,,
Northern Mariana Islands,2020-09-14,,
American Samoa,2020-09-14,,
North Dakota,2020-09-13,36.57524171893111,0.22497720625673448
South Dakota,2020-09-13,24.75870941415836,0.1779571202684092
Arkansas,2020-09-13,22.95123306761342,0.412432705946762
Missouri,2020-09-13,22.163888658558,0.1072398837043039
Oklahoma,2020-09-13,20.82129219323275,0.18843142630416482
Iowa,2020-09-13,20.192038071761594,0.23984956331220525
Wisconsin,2020-09-13,19.638714125301362,0.10819517377280184
South Carolina,2020-09-13,19.4218201079556,0.4974305323214782
Alabama,2020-09-13,18.8249648978052,0.21911380230779415
Nebraska,2020-09-13,17.045843293933242,0.28508221771158804
Tennessee,2020-09-13,16.24384602090691,0.44948234936137466
Georgia,2020-09-13,15.09447952488123,0.4020162603171736
Utah,2020-09-13,14.529412974260584,0.04966617685904138
Kansas,2020-09-13,14.405926821477516,0.23046460427750548
Mississippi,2020-09-13,14.283131259354501,0.5404265150525861
Louisiana,2020-09-13,14.21229885634653,0.4354097809045451
Illinois,2020-09-13,13.39203583997589,0.1692949106355191
Kentucky,2020-09-13,13.334968518947043,0.20454739748124723
Idaho,2020-09-13,13.151804119009833,0.11401156533318739
Indiana,2020-09-13,12.808661484862695,0.15795267038639976
Delaware,2020-09-13,11.904823449007466,0.08891912598702814
Texas,2020-09-13,11.787709117654284,0.37380872205253707
Florida,2020-09-13,11.779716023864607,0.5090771655909284
Virginia,2020-09-13,11.552434728450278,0.07713363431495765
North Carolina,2020-09-13,11.35162881538423,0.22285099030973782
West Virginia,2020-09-13,10.181456525302465,0.17554235388452524
Montana,2020-09-13,10.179750636587421,0.24192675361595775
Alaska,2020-09-13,9.918121930250408,0.03932533989298083
Hawaii,2020-09-13,9.845891315045291,0.14079638660153426
Minnesota,2020-09-13,9.481073407210856,0.1578990796764815
Maryland,2020-09-13,9.43515815234138,0.0921770633678421
Nevada,2020-09-13,9.07232816326961,0.2965997801206963
Rhode Island,2020-09-13,8.944354331490615,0.02742796612173288
Michigan,2020-09-13,8.384825201094646,0.1500613000410668
Ohio,2020-09-13,8.367721915212035,0.190684893256667
California,2020-09-13,8.26004571372811,0.2336625498694354
Wyoming,2020-09-13,7.764778783425676,0.0
Puerto Rico,2020-09-13,6.706721086595852,0.27729501529347733
District of Columbia,2020-09-13,6.364820522311038,0.10107409015524126
Pennsylvania,2020-09-13,5.978811686679066,0.0881545022823349
Arizona,2020-09-13,5.467921868982379,0.23941505199782592
Colorado,2020-09-13,5.121705242887272,0.04020672930722927
Washington,2020-09-13,4.911890786004707,0.07205805092128804
Massachusetts,2020-09-13,4.68593187426119,0.17588724902925162
New Mexico,2020-09-13,4.458754965572666,0.13648762925760274
Oregon,2020-09-13,4.407603193060464,0.09544915149283666
New Jersey,2020-09-13,4.1308769582377325,0.06735125475387607
Connecticut,2020-09-13,3.842789626231398,0.04786342968064456
New York,2020-09-13,3.555688100562224,0.02630204190324645
New Hampshire,2020-09-13,2.6222706489990846,0.031700207452055276
Maine,2020-09-13,2.2541773634866606,0.021667598124333158
Vermont,2020-09-13,0.8206942690312454,0.0
Guam,2020-09-13,,
Virgin Islands,2020-09-13,,
American Samoa,2020-09-13,,
Northern Mariana Islands,2020-09-13,,
North Dakota,2020-09-12,34.15048738483075,0.22497720625673448
South Dakota,2020-09-12,25.065883806468797,0.162088332473774
Arkansas,2020-09-12,23.79501132282067,0.412432705946762
Missouri,2020-09-12,21.263693896565258,0.1398852059887191
Iowa,2020-09-12,20.43632342620507,0.24428535444347454
Oklahoma,2020-09-12,19.824862753193635,0.1775262428168444
Tennessee,2020-09-12,17.997462337574095,0.4262918370873898
Wisconsin,2020-09-12,17.945777876856347,0.10561500269713883
Nebraska,2020-09-12,17.141734585345322,0.2441340446221054
Alabama,2020-09-12,17.077169180610536,0.21911380230779415
South Carolina,2020-09-12,15.985241910754786,0.4580924119322747
Georgia,2020-09-12,15.42310809237153,0.42102861597180463
Mississippi,2020-09-12,15.029482375867646,0.554824495317308
Kansas,2020-09-12,14.729813739262445,0.22565610284697635
Louisiana,2020-09-12,14.56165672885151,0.512019584641816
Idaho,2020-09-12,13.787418595742352,0.12370254838650832
Utah,2020-09-12,13.444665710250053,0.05884018404956495
Illinois,2020-09-12,13.33929305835926,0.15924866651806596
Kentucky,2020-09-12,12.631585072247304,0.20454739748124723
Delaware,2020-09-12,12.318400779179688,0.07340997610556975
Virginia,2020-09-12,11.976728418578523,0.0754899952275765
Indiana,2020-09-12,11.954790568507077,0.1600447587358885
Florida,2020-09-12,11.874273010999175,0.5291716991031405
North Carolina,2020-09-12,11.350280538001197,0.2173615752502499
